42724,
"Bodhisattva Manjushri (Wenshu)--China-late 10th–early 12th century",
"The scroll held in the bodhisattva’s left hand identifies
the figure as Manjushri the personification of spiritual
wisdom who is generally shown holding such a text in the
form of either a Chinese-style handscroll or an Indian-style
palm-leaf manuscript.",
"Bodhisattva Manjushri (Wenshu)--China-late 10th–early 12th century",
"이 작품은 10세기 후반부터 12세기 초 중국에서
제작된 문수보살상이다 문수보살은 지혜를 의인화한 존재로 흔히
경전을 들고 묘사되는데 이 그림에서 문수보살은 왼손에
두루마리를 들고 있다 이 두루마리는 인물이 문수보살임을
나타내는 중요한 상징물이다 두루마리는 중국식 손으로 쓴
두루마리 또는 인도식 야자수 잎으로 된 사본
형태를 취한다 이 그림은 문수보살의 고요하고 평화로운
모습을 보여준다 그의 표정은 온화하고 그의 자세는
편안하다 그는 지혜와 평정심의 완벽한 조화를 나타낸다
그의 옷은 우아하고 섬세하게 묘사되어 있으며 색상과
질감의 사용은 놀랍다 그의 옷의 주름과 옷감의
움직임이 매우 사실적으로 묘사되어 있다 이 그림은
뛰어난 예술적 기량과 정교함을 보여주는 작품이다 화가는
문수보살의 형태와 옷을 세밀하게 묘사하는데 엄청난 주의를
기울였다 선과 색의 사용은 균형이 잘 잡혀
있고 전체적인 구성은 조화롭고 아름답다 이 작품은
단순한 종교적 그림 이상의 의미를 지닌다 그것은
10세기 후반에서 12세기 초 중국 불교 미술의
높은 수준을 보여주는 대표적인 예시이다 이 그림은
문수보살의 지혜와 평화를 시각적으로 표현하는데 성공했다 그리고
그 아름다움과 예술적 가치로 오늘날까지 감탄을 자아낸다
이 작품은 중국 불교 미술사 연구에 귀중한
자료로서 큰 가치를 지닌다"
